mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Task,Features
0.0245886802673339,0.0018205080091097,0.0031033515930175,0.0003251332476822,0.1,balanced,0.1,poly,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'poly'}",0.3486111111111111,0.3685185185185185,0.387037037037037,0.3689814814814815,0.3875,0.3721296296296296,0.0143843717586703,80,Binary,Raw
0.0256035804748535,0.0012535084059374,0.0032069206237792,0.0003142413093978,0.1,balanced,0.1,rbf,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,28,Binary,Raw
0.0244157791137695,0.0008243747932581,0.0034773349761962,0.0005131801382356,0.1,balanced,0.1,sigmoid,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'sigmoid'}",0.4782407407407407,0.4675925925925926,0.4509259259259259,0.4680555555555555,0.4499999999999999,0.4629629629629629,0.010896853977722,65,Binary,Raw
0.0244491100311279,0.0018050093037579,0.0030741214752197,0.0003103665774423,0.1,balanced,1.0,poly,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 1.0, 'kernel': 'poly'}",0.35,0.3379629629629629,0.3689814814814815,0.3412037037037037,0.3875,0.3571296296296296,0.0186260765332723,89,Binary,Raw
0.025594425201416,0.0020974863643974,0.003210973739624,0.0002687244308942,0.1,balanced,1.0,rbf,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 1.0, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,28,Binary,Raw
0.0245758056640625,0.0014409697154786,0.0033840179443359,0.0005129628028266,0.1,balanced,1.0,sigmoid,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 1.0, 'kernel': 'sigmoid'}",0.4967592592592593,0.4412037037037037,0.4685185185185185,0.4824074074074074,0.4805555555555555,0.4738888888888889,0.0186398801046439,58,Binary,Raw
0.024468994140625,0.0012365485365852,0.0032390117645263,0.0003463017378306,1.0,,scale,poly,"{'C': 1, 'class_weight': None, 'gamma': 'scale', 'kernel': 'poly'}",0.3361111111111111,0.4236111111111111,0.4296296296296296,0.3625,0.3847222222222222,0.3873148148148148,0.0356434580849333,71,Binary,Raw
0.0248535633087158,0.0013248576353189,0.0031095504760742,0.0002988451343375,1.0,,scale,rbf,"{'C': 1, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf'}",0.9944444444444444,0.9916666666666668,0.9916666666666668,0.9902777777777778,0.9930555555555556,0.9922222222222222,0.0014163943093313,4,Binary,Raw
0.0256830215454101,0.0019789265464846,0.0033094406127929,0.000161563828977,1.0,,scale,sigmoid,"{'C': 1, 'class_weight': None, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5342592592592592,0.6800925925925927,0.6523148148148148,0.6291666666666667,0.650462962962963,0.6292592592592593,0.0501800598722157,11,Binary,Raw
0.0246909618377685,0.0018858290829737,0.0031928539276123,0.0002956840034868,1.0,,auto,poly,"{'C': 1, 'class_weight': None, 'gamma': 'auto', 'kernel': 'poly'}",0.3768518518518518,0.3893518518518518,0.387037037037037,0.3550925925925926,0.3787037037037037,0.3774074074074074,0.0121271555294128,72,Binary,Raw
0.024971055984497,0.0010746735730422,0.0032085418701171,0.0003396517002358,1.0,,auto,rbf,"{'C': 1, 'class_weight': None, 'gamma': 'auto', 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,28,Binary,Raw
0.0249258995056152,0.0006981544028101,0.0032486915588378,0.0002022252277288,1.0,,auto,sigmoid,"{'C': 1, 'class_weight': None, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.5300925925925926,0.6328703703703704,0.6291666666666667,0.4976851851851852,0.4898148148148148,0.5559259259259259,0.0627927983778451,12,Binary,Raw
0.0250836849212646,0.0010510977040264,0.0030488014221191,0.0003106126764767,1.0,,0.1,poly,"{'C': 1, 'class_weight': None, 'gamma': 0.1, 'kernel': 'poly'}",0.3486111111111111,0.3685185185185185,0.387037037037037,0.3689814814814815,0.3875,0.3721296296296296,0.0143843717586703,80,Binary,Raw
0.0254603862762451,0.0014514914996988,0.0032866477966308,0.0002945759872731,1.0,,0.1,rbf,"{'C': 1, 'class_weight': None, 'gamma': 0.1, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,28,Binary,Raw
0.0246783733367919,0.0009445222711469,0.0034841060638427,0.0001747437803177,1.0,,0.1,sigmoid,"{'C': 1, 'class_weight': None, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.5273148148148148,0.6328703703703704,0.6287037037037038,0.4962962962962963,0.4884259259259259,0.5547222222222222,0.0634670723523362,14,Binary,Raw
0.0238651752471923,0.0020970289625466,0.0032197475433349,0.0002864858361206,1.0,,1.0,poly,"{'C': 1, 'class_weight': None, 'gamma': 1.0, 'kernel': 'poly'}",0.35,0.3379629629629629,0.3689814814814815,0.3412037037037037,0.3875,0.3571296296296296,0.0186260765332723,89,Binary,Raw
0.0254762172698974,0.0014511232229535,0.0032907485961914,0.0003007385003686,1.0,,1.0,rbf,"{'C': 1, 'class_weight': None, 'gamma': 1.0, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,28,Binary,Raw
0.024533462524414,0.0010272230257493,0.0034066677093505,0.0005404078758868,1.0,,1.0,sigmoid,"{'C': 1, 'class_weight': None, 'gamma': 1.0, 'kernel': 'sigmoid'}",0.6305555555555555,0.4833333333333333,0.487037037037037,0.4972222222222222,0.4879629629629629,0.5172222222222222,0.0568509470310431,25,Binary,Raw
0.0247180461883544,0.0014115352371581,0.0032244205474853,0.0003111118694417,1.0,balanced,scale,poly,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'poly'}",0.4935185185185185,0.4976851851851852,0.4972222222222222,0.4935185185185185,0.4916666666666666,0.4947222222222222,0.0023350963357256,54,Binary,Raw
0.0245438575744628,0.0005917225328572,0.0032005786895751,0.0002635840652892,1.0,balanced,scale,rbf,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.9953703703703703,0.9944444444444444,0.9944444444444444,0.9930555555555556,0.9958333333333332,0.9946296296296296,0.0009532990871284,3,Binary,Raw
0.0253986358642578,0.00162697913495,0.0033814430236816,0.0002989714757375,1.0,balanced,scale,sigmoid,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.4148148148148148,0.4416666666666666,0.4194444444444444,0.4412037037037037,0.4296296296296296,0.4293518518518519,0.0109697801626813,69,Binary,Raw
0.0247292041778564,0.0009894339710783,0.0031530857086181,0.0002891420371948,1.0,balanced,auto,poly,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'poly'}",0.3768518518518518,0.3893518518518518,0.387037037037037,0.3550925925925926,0.3787037037037037,0.3774074074074074,0.0121271555294128,72,Binary,Raw
0.025762939453125,0.0015050562653355,0.0032361507415771,0.0002211306602657,1.0,balanced,auto,rbf,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}",0.5175925925925926,0.5180555555555556,0.5171296296296296,0.5162037037037037,0.5199074074074074,0.5177777777777777,0.0012283795519834,23,Binary,Raw
0.0247834682464599,0.0014796088411659,0.0031702518463134,0.0003574854567217,1.0,balanced,auto,sigmoid,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'sigmoid'}",0.4777777777777778,0.4472222222222222,0.4564814814814815,0.4819444444444444,0.4699074074074074,0.4666666666666667,0.0130322223853717,62,Binary,Raw
0.0245562553405761,0.0014753488054147,0.0029436111450195,0.000270830770314,1.0,balanced,0.1,poly,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'poly'}",0.3486111111111111,0.3685185185185185,0.387037037037037,0.3689814814814815,0.3875,0.3721296296296296,0.0143843717586703,80,Binary,Raw
0.0257626056671142,0.0015693291184235,0.0032073497772216,0.0003249500429561,1.0,balanced,0.1,rbf,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.5064814814814815,0.5060185185185185,0.5037037037037037,0.5092592592592593,0.5069444444444444,0.5064814814814815,0.0017810540797844,26,Binary,Raw
0.0244062423706054,0.0009139023878971,0.0033580780029296,0.0001813633943011,1.0,balanced,0.1,sigmoid,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'sigmoid'}",0.486574074074074,0.5263888888888889,0.5263888888888888,0.4791666666666666,0.4782407407407407,0.4993518518518519,0.0222638498994598,50,Binary,Raw
0.0244484424591064,0.0009718472084433,0.0032179832458496,0.0003676429147357,1.0,balanced,1.0,poly,"{'C': 1, 'class_weight': 'balanced', 'gamma': 1.0, 'kernel': 'poly'}",0.35,0.3379629629629629,0.3689814814814815,0.3412037037037037,0.3875,0.3571296296296296,0.0186260765332723,89,Binary,Raw
0.0255104541778564,0.0026624903653014,0.0032623291015625,0.0003015853629736,1.0,balanced,1.0,rbf,"{'C': 1, 'class_weight': 'balanced', 'gamma': 1.0, 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,28,Binary,Raw
0.02477388381958,0.0015363650792523,0.0032002449035644,0.0002949480241081,1.0,balanced,1.0,sigmoid,"{'C': 1, 'class_weight': 'balanced', 'gamma': 1.0, 'kernel': 'sigmoid'}",0.4935185185185184,0.4425925925925926,0.4657407407407407,0.4796296296296296,0.4462962962962963,0.4655555555555556,0.0193817330882309,63,Binary,Raw
0.0243660449981689,0.0013119738211253,0.0033290386199951,0.0002456121040171,10.0,,scale,poly,"{'C': 10, 'class_weight': None, 'gamma': 'scale', 'kernel': 'poly'}",0.35,0.3962962962962962,0.3800925925925926,0.3791666666666666,0.3472222222222222,0.3705555555555556,0.0189455395939926,88,Binary,Raw
0.0253736972808837,0.0013304250547342,0.0029302597045898,0.000288050992789,10.0,,scale,rbf,"{'C': 10, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf'}",0.9972222222222222,0.9986111111111112,0.9958333333333332,0.9944444444444444,0.9972222222222222,0.9966666666666668,0.0014163943093313,2,Binary,Raw
0.0256173610687255,0.0015303782125572,0.0032503604888916,0.0003421671611974,10.0,,scale,sigmoid,"{'C': 10, 'class_weight': None, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6555555555555556,0.6722222222222223,0.6421296296296296,0.6236111111111111,0.6449074074074075,0.6476851851851851,0.0160134331469633,9,Binary,Raw
0.0244723320007324,0.0025693339458749,0.0032392501831054,0.0002838736836858,10.0,,auto,poly,"{'C': 10, 'class_weight': None, 'gamma': 'auto', 'kernel': 'poly'}",0.3768518518518518,0.3893518518518518,0.387037037037037,0.3550925925925926,0.3787037037037037,0.3774074074074074,0.0121271555294128,72,Binary,Raw
0.0250141143798828,0.0013731384308474,0.0033388614654541,0.000237605252596,10.0,,auto,rbf,"{'C': 10, 'class_weight': None, 'gamma': 'auto', 'kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,28,Binary,Raw
0.0251315116882324,0.0005399615719261,0.003436279296875,0.0003245632460641,10.0,,auto,sigmoid,"{'C': 10, 'class_weight': None, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.5300925925925926,0.4861111111111111,0.4902777777777777,0.4962962962962963,0.4898148148148148,0.4985185185185184,0.0161212186259687,52,Binary,Raw
