mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_net__batch_size,param_net__module__activation,param_net__module__hidden_sizes,param_net__optimizer__lr,param_net__optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Task,Features
7.609498643875122,0.0424242928946023,0.042326021194458,0.0026600716920921,32,relu,"(200,)",0.01,0.0001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (200,), 'net__optimizer__lr': 0.01, 'net__optimizer__weight_decay': 0.0001}",0.9944444444444444,1.0,0.9953703703703703,0.9976851851851852,0.9944444444444444,0.9963888888888888,0.0021596118129056,76,Binary,Raw
7.642126655578613,0.0497055767451115,0.0426618099212646,0.0027441382612956,32,relu,"(200,)",0.01,0.001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (200,), 'net__optimizer__lr': 0.01, 'net__optimizer__weight_decay': 0.001}",0.9972222222222222,0.9986111111111112,0.9930555555555556,0.9925925925925928,0.9902777777777778,0.994351851851852,0.0030904294941256,139,Binary,Raw
7.674182367324829,0.0610014156473419,0.0426445960998535,0.0024170116003237,32,relu,"(200,)",0.01,0.01,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (200,), 'net__optimizer__lr': 0.01, 'net__optimizer__weight_decay': 0.01}",0.9694444444444444,0.977777777777778,0.977777777777778,0.9805555555555556,0.9736111111111112,0.9758333333333334,0.0038888888888889,280,Binary,Raw
7.716084384918213,0.1404717562515569,0.0417490005493164,0.0027062129757763,32,relu,"(200,)",0.01,0.1,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (200,), 'net__optimizer__lr': 0.01, 'net__optimizer__weight_decay': 0.1}",0.8847222222222222,0.9180555555555556,0.9041666666666668,0.9,0.8333333333333333,0.8880555555555555,0.0293525820682623,444,Binary,Raw
8.562629461288452,0.0432535427202081,0.0461643695831298,0.0025181531164589,32,relu,"(50, 50)",0.0001,1e-05,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (50, 50), 'net__optimizer__lr': 0.0001, 'net__optimizer__weight_decay': 1e-05}",0.9958333333333332,0.9972222222222222,0.9916666666666668,0.9930555555555556,0.9930555555555556,0.9941666666666666,0.0020412414523193,141,Binary,Raw
8.67290644645691,0.1317773579822301,0.0433637142181396,0.0024112142996725,32,relu,"(50, 50)",0.0001,0.0001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (50, 50), 'net__optimizer__lr': 0.0001, 'net__optimizer__weight_decay': 0.0001}",0.9986111111111112,0.9958333333333332,0.9944444444444444,0.9939814814814816,0.9902777777777778,0.9946296296296296,0.0027090257108014,131,Binary,Raw
8.656260442733764,0.1532373782652105,0.044788646697998,0.0025559155584906,32,relu,"(50, 50)",0.0001,0.001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (50, 50), 'net__optimizer__lr': 0.0001, 'net__optimizer__weight_decay': 0.001}",0.9958333333333332,0.9930555555555556,0.9930555555555556,0.9925925925925928,0.9902777777777778,0.992962962962963,0.001766554076698,163,Binary,Raw
8.645721054077148,0.033206502020864,0.0416638851165771,0.0001192604908658,32,relu,"(50, 50)",0.0001,0.01,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (50, 50), 'net__optimizer__lr': 0.0001, 'net__optimizer__weight_decay': 0.01}",0.9805555555555556,0.9861111111111112,0.9833333333333334,0.9875,0.9805555555555556,0.9836111111111112,0.0028327886186626,257,Binary,Raw
8.77728476524353,0.0977732871091047,0.042929458618164,0.0018678527180709,32,relu,"(50, 50)",0.0001,0.1,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (50, 50), 'net__optimizer__lr': 0.0001, 'net__optimizer__weight_decay': 0.1}",0.8833333333333333,0.9277777777777778,0.8847222222222222,0.9,0.8861111111111111,0.8963888888888889,0.0167957960642566,430,Binary,Raw
8.65418701171875,0.0314631035381713,0.0416635036468505,0.0007388115852467,32,relu,"(50, 50)",0.001,1e-05,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (50, 50), 'net__optimizer__lr': 0.001, 'net__optimizer__weight_decay': 1e-05}",0.9986111111111112,1.0,0.9944444444444444,0.9972222222222222,0.9958333333333332,0.997222222222222,0.0019641855032959,43,Binary,Raw
8.665422773361206,0.0610660147399381,0.0426026344299316,0.0019267793338369,32,relu,"(50, 50)",0.001,0.0001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (50, 50), 'net__optimizer__lr': 0.001, 'net__optimizer__weight_decay': 0.0001}",0.9986111111111112,0.9986111111111112,0.9958333333333332,0.9986111111111112,0.9958333333333332,0.9975,0.0013608276348795,26,Binary,Raw
8.725872421264649,0.115697549788973,0.043388557434082,0.002285769753882,32,relu,"(50, 50)",0.001,0.001,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (50, 50), 'net__optimizer__lr': 0.001, 'net__optimizer__weight_decay': 0.001}",0.9958333333333332,0.9986111111111112,0.9972222222222222,0.9972222222222222,0.9944444444444444,0.9966666666666668,0.0014163943093313,63,Binary,Raw
8.543223905563355,0.0150254324863449,0.0414177894592285,0.0001531102804928,32,relu,"(50, 50)",0.001,0.01,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (50, 50), 'net__optimizer__lr': 0.001, 'net__optimizer__weight_decay': 0.01}",0.9819444444444444,0.9875,0.9861111111111112,0.9875,0.9819444444444444,0.985,0.0025458753860865,247,Binary,Raw
8.646669387817383,0.0678106461154222,0.0437861919403076,0.0027268058265083,32,relu,"(50, 50)",0.001,0.1,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (50, 50), 'net__optimizer__lr': 0.001, 'net__optimizer__weight_decay': 0.1}",0.8916666666666666,0.9333333333333332,0.9013888888888888,0.9027777777777778,0.8805555555555555,0.9019444444444444,0.0176033105752831,416,Binary,Raw
8.60551404953003,0.0942224594180952,0.0434842109680175,0.0026165764067857,32,relu,"(50, 50)",0.01,1e-05,"{'net__batch_size': 32, 'net__module__activation': 'relu', 'net__module__hidden_sizes': (50, 50), 'net__optimizer__lr': 0.01, 'net__optimizer__weight_decay': 1e-05}",1.0,1.0,0.9986111111111112,0.9972222222222222,0.9958333333333332,0.9983333333333332,0.0016197088596792,5,Binary,Raw
