mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Task,Features
0.0089455127716064,0.0020487702758886,0.0021416187286376,9.11020570902866e-05,,gini,3,sqrt,10,10,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9060185185185186,0.900925925925926,0.007663400628355,951,Binary,Raw
0.0079339027404785,0.0003025703072113,0.0020715713500976,9.664177629172988e-05,,gini,3,sqrt,10,20,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9060185185185186,0.900925925925926,0.007663400628355,951,Binary,Raw
0.0090099334716796,0.0008534912224141,0.0024024963378906,0.000317020887617,,gini,3,sqrt,10,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 50}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9060185185185186,0.900925925925926,0.007663400628355,951,Binary,Raw
0.0082361221313476,0.0006630606358934,0.002180528640747,0.0001005316358507,,gini,3,sqrt,20,2,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 2}",0.8925925925925926,0.912037037037037,0.8907407407407407,0.9032407407407408,0.9060185185185186,0.900925925925926,0.0080985442983962,951,Binary,Raw
0.0075045585632324,0.000477184755471,0.002211856842041,0.0001416508485054,,gini,3,sqrt,20,5,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 5}",0.8925925925925926,0.912037037037037,0.8907407407407407,0.9032407407407408,0.9060185185185186,0.900925925925926,0.0080985442983962,951,Binary,Raw
0.0080737113952636,0.0010005218056902,0.0026887416839599,0.0013830486203443,,gini,3,sqrt,20,10,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 10}",0.8925925925925926,0.912037037037037,0.8907407407407407,0.9032407407407408,0.9060185185185186,0.900925925925926,0.0080985442983962,951,Binary,Raw
0.0090429306030273,0.0031473691130565,0.0020764350891113,0.0001042514129127,,gini,3,sqrt,20,20,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20}",0.8925925925925926,0.912037037037037,0.8907407407407407,0.9032407407407408,0.9060185185185186,0.900925925925926,0.0080985442983962,951,Binary,Raw
0.0111947059631347,0.004643146192587,0.0030451774597167,0.0014141924230161,,gini,3,sqrt,20,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 50}",0.8925925925925926,0.912037037037037,0.8907407407407407,0.9032407407407408,0.9060185185185186,0.900925925925926,0.0080985442983962,951,Binary,Raw
0.0095753669738769,0.0031675269891215,0.0022482395172119,0.0001713647133317,,gini,3,log2,1,2,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0096228599548339,0.0025342130662401,0.0022010803222656,0.0001551171137614,,gini,3,log2,1,5,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0080188751220703,0.0004364297149444,0.0021358489990234,0.00010578765346,,gini,3,log2,1,10,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0118659973144531,0.0040903812394533,0.0023865699768066,0.0004434099221991,,gini,3,log2,1,20,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.007154893875122,0.0010822428167006,0.0018966197967529,0.0002810522463566,,gini,3,log2,1,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 50}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0077876091003417,0.0010468558990322,0.001850938796997,0.0003612445928257,,gini,3,log2,2,2,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0069393634796142,0.0006198513386781,0.001901626586914,0.000249322733728,,gini,3,log2,2,5,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.007829475402832,0.0001785653866491,0.0019810676574707,0.0002474571873021,,gini,3,log2,2,10,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0088197231292724,0.0018784672497878,0.0023868560791015,0.0002361442040754,,gini,3,log2,2,20,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 20}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0085800647735595,0.0014247479330605,0.0025129795074462,0.0005166524205822,,gini,3,log2,2,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 50}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
0.0101123809814453,0.0052470771855881,0.0023354053497314,0.000499169517397,,gini,3,log2,5,2,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8935185185185186,0.9111111111111112,0.8907407407407407,0.9032407407407408,0.9037037037037036,0.900462962962963,0.0074074074074074,971,Binary,Raw
