mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Task,Features
0.0022234439849853,7.835814400347316e-06,0.0035888195037841,3.2083239723444984e-05,chebyshev,7,distance,"{'metric': 'chebyshev', 'n_neighbors': 7, 'weights': 'distance'}",0.9736111111111112,0.9847222222222224,0.977777777777778,0.9763888888888888,0.9833333333333334,0.9791666666666669,0.0042127085800286,31,Binary,Reduced
0.0022253513336181,1.3803097391560413e-05,0.0032162189483642,1.61544378501146e-05,chebyshev,9,uniform,"{'metric': 'chebyshev', 'n_neighbors': 9, 'weights': 'uniform'}",0.9694444444444444,0.977777777777778,0.9722222222222222,0.9722222222222222,0.9763888888888888,0.9736111111111112,0.0030429030972509,38,Binary,Reduced
0.0022339820861816,1.241517678420114e-05,0.0036019325256347,8.462482662765129e-06,chebyshev,9,distance,"{'metric': 'chebyshev', 'n_neighbors': 9, 'weights': 'distance'}",0.9694444444444444,0.9791666666666669,0.9736111111111112,0.9736111111111112,0.977777777777778,0.9747222222222222,0.0034471315683308,36,Binary,Reduced
0.002250337600708,2.192963670430868e-05,0.0032217502593994,6.478671197616116e-06,chebyshev,11,uniform,"{'metric': 'chebyshev', 'n_neighbors': 11, 'weights': 'uniform'}",0.9652777777777778,0.9763888888888888,0.9680555555555556,0.9708333333333332,0.9736111111111112,0.9708333333333334,0.0039283710065919,41,Binary,Reduced
0.0027718067169189,0.0004412780085438,0.0042865753173828,0.0002237843775748,chebyshev,11,distance,"{'metric': 'chebyshev', 'n_neighbors': 11, 'weights': 'distance'}",0.9666666666666668,0.9791666666666669,0.9708333333333332,0.9722222222222222,0.975,0.9727777777777776,0.0041759156606591,40,Binary,Reduced
0.0028181076049804,0.0003691970012094,0.0040459156036376,0.0005500496624505,chebyshev,15,uniform,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'uniform'}",0.9569444444444444,0.9722222222222222,0.9652777777777778,0.9680555555555556,0.9708333333333332,0.9666666666666666,0.0054148857471161,46,Binary,Reduced
0.0029851913452148,0.0003777307436886,0.0043361663818359,0.0004470654260977,chebyshev,15,distance,"{'metric': 'chebyshev', 'n_neighbors': 15, 'weights': 'distance'}",0.9611111111111112,0.9736111111111112,0.9666666666666668,0.9694444444444444,0.9736111111111112,0.968888888888889,0.0046976484792465,44,Binary,Reduced
0.002815818786621,0.0003706114656531,0.0039805889129638,0.0005577331156367,chebyshev,21,uniform,"{'metric': 'chebyshev', 'n_neighbors': 21, 'weights': 'uniform'}",0.9486111111111112,0.9625,0.9611111111111112,0.9625,0.9638888888888888,0.959722222222222,0.0056245713142546,48,Binary,Reduced
0.0022722244262695,6.480646785828985e-05,0.0037686824798583,0.0002960844299648,chebyshev,21,distance,"{'metric': 'chebyshev', 'n_neighbors': 21, 'weights': 'distance'}",0.9527777777777776,0.9708333333333332,0.9625,0.9666666666666668,0.9666666666666668,0.9638888888888888,0.0061488732281052,47,Binary,Reduced
0.4789939403533935,0.9524667355665428,0.0708332538604736,0.1351771790082331,euclidean,1,uniform,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",0.9923611111111112,0.9847222222222224,0.9923611111111112,0.9909722222222224,0.9854166666666668,0.9891666666666667,0.0033907098932593,1,Multiclass,Raw
0.0024873733520507,0.0001957465843759,0.1193082809448242,0.2319100983145118,euclidean,1,distance,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}",0.9923611111111112,0.9847222222222224,0.9923611111111112,0.9909722222222224,0.9854166666666668,0.9891666666666667,0.0033907098932593,1,Multiclass,Raw
0.0023117065429687,6.078504936209661e-06,0.0029417514801025,2.272397983083304e-05,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.9659722222222222,0.9666666666666668,0.9743055555555556,0.9805555555555556,0.9673611111111112,0.9709722222222222,0.0056485276132396,11,Multiclass,Raw
0.0025611877441406,0.0002497253878023,0.0289833545684814,0.0511656237606923,euclidean,3,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.971527777777778,0.9722222222222224,0.9805555555555556,0.9819444444444444,0.9743055555555556,0.9761111111111112,0.0043167417410888,8,Multiclass,Raw
0.0024234294891357,0.0001384533947659,0.002980089187622,4.864206478617322e-06,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.9534722222222224,0.94375,0.9506944444444444,0.9659722222222222,0.9493055555555556,0.9526388888888888,0.0073807390308813,19,Multiclass,Raw
0.0023590564727783,1.2370777097410728e-05,0.0034827232360839,0.0002022078893758,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.9715277777777778,0.9638888888888888,0.9729166666666668,0.9798611111111112,0.9680555555555556,0.97125,0.0053178304775212,9,Multiclass,Raw
0.0023482322692871,7.861328342501417e-05,0.0029675006866455,5.760749417380239e-05,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.9361111111111112,0.9256944444444444,0.9381944444444446,0.94375,0.9319444444444444,0.9351388888888889,0.0060635777647064,27,Multiclass,Raw
0.0023014545440673,2.0309009017035347e-05,0.0032934665679931,4.144710710840655e-05,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.9659722222222222,0.9527777777777776,0.9666666666666668,0.975,0.9548611111111112,0.9630555555555556,0.0082097315034064,14,Multiclass,Raw
0.0022887229919433,1.2570425986657276e-05,0.00292649269104,3.752154002742866e-05,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.9291666666666668,0.9076388888888888,0.91875,0.928472222222222,0.9194444444444444,0.9206944444444444,0.007849372861636,32,Multiclass,Raw
0.0022850036621093,2.384138106822958e-05,0.0032676219940185,2.0281336772938158e-05,euclidean,9,distance,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.9597222222222224,0.9354166666666668,0.9569444444444444,0.9659722222222222,0.9493055555555556,0.9534722222222222,0.0104950752707292,18,Multiclass,Raw
0.0022777557373046,1.3536297503109296e-05,0.0029947280883789,0.0001852043993544,euclidean,11,uniform,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}",0.9104166666666668,0.90625,0.9111111111111112,0.920138888888889,0.9013888888888888,0.909861111111111,0.0062019759893795,36,Multiclass,Raw
0.0022861957550048,1.8370921219699064e-05,0.0032787322998046,6.052263965980391e-06,euclidean,11,distance,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.9479166666666669,0.9368055555555556,0.9486111111111112,0.9590277777777778,0.94375,0.9472222222222222,0.0072435582280029,22,Multiclass,Raw
0.0022767543792724,2.934683820953897e-05,0.0029406070709228,2.066878700770227e-05,euclidean,15,uniform,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.8902777777777777,0.8743055555555556,0.8875,0.9048611111111112,0.8840277777777779,0.8881944444444445,0.0099283700003675,43,Multiclass,Raw
0.0022905349731445,2.8174338204949643e-05,0.0033241271972656,4.706592902967299e-05,euclidean,15,distance,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}",0.9347222222222222,0.9215277777777776,0.9270833333333331,0.9458333333333334,0.9333333333333332,0.9325,0.0081626029193973,28,Multiclass,Raw
0.0023215770721435,2.160898475890869e-05,0.0029699802398681,2.525436911938736e-05,euclidean,21,uniform,"{'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}",0.8645833333333334,0.8506944444444444,0.8625,0.8847222222222223,0.8534722222222222,0.8631944444444445,0.0119718677441722,46,Multiclass,Raw
0.0022867202758789,2.020765891130188e-05,0.0033226013183593,1.3822521458653912e-05,euclidean,21,distance,"{'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'distance'}",0.9159722222222222,0.8979166666666667,0.9048611111111112,0.9222222222222222,0.9027777777777778,0.90875,0.0089645219795027,38,Multiclass,Raw
0.0024145603179931,0.0001053226965516,0.0071381568908691,0.0078567590518862,manhattan,1,uniform,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",0.9902777777777778,0.9805555555555556,0.9888888888888888,0.9916666666666668,0.9875,0.987777777777778,0.0038689967436622,3,Multiclass,Raw
0.0025531291961669,0.0002868236983441,0.0037155628204345,0.0001714094220309,manhattan,1,distance,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'distance'}",0.9902777777777778,0.9805555555555556,0.9888888888888888,0.9916666666666668,0.9875,0.987777777777778,0.0038689967436622,3,Multiclass,Raw
