PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,y
1.1739577659169087,-0.10646330668861953,-0.007678999801757513,-0.06081082890020201,0.00954439323545747,-0.21384610883882646,0.014906451826214702,0.08327927674635249,1
0.48302869498119577,0.14704392874539451,-0.09749341521787358,0.20376774325655567,-0.030019818771764427,0.10704190133892846,-0.3389154337333403,-0.030428859105390962,1
-3.4277901242050235,0.6181394851897328,-3.8140939425621543,-4.647619795550688,-0.4591241067516698,-0.2537232926415655,0.021666267137383427,-0.667080744963987,0
0.3523094703547577,0.10263134977030328,-0.26462902106448716,-0.37899165605228885,-0.5126622260803724,0.5658243949678669,0.3491234624357871,-0.10718073930781491,1
0.5029038942770101,-0.03367816326863305,0.01592116355367778,-0.023633815026232328,0.053819224748012644,0.41654040942070664,0.09570644870420666,-0.05840407255488909,1
0.21687850779905224,-0.045269683774603144,-0.0011444390887713452,-0.0588968025168874,-0.03380848781510289,-0.10217729189202113,0.0695981910172823,0.06041224958463757,1
0.09942482682537514,-0.005922650716001978,0.013267066344820121,-0.03112328065684703,-0.0767233579148399,-0.13722741759042587,0.04168053868984974,0.06387584410575245,1
0.6719932016778402,-0.08860179937794754,-0.04415122181078298,-0.06347326474947856,0.18781303789102932,0.15810134108155108,0.030703876139416327,0.16109703244008977,1
0.736541995817273,-0.1669669945877856,0.014707782428141003,0.17989892246866415,-0.24906915694664383,0.2944607833270231,-0.5893519790964017,-0.6531572185093628,1
0.09601787924519148,-0.17218139969242655,-0.15096073270380012,-0.1101158937287784,0.07648022717811861,-0.22491460263605276,0.21035975369120546,0.14162317003902716,1
0.7588393508737368,-0.2366439552000646,0.0027283013395687154,0.21837010912615742,0.3635264602504518,-0.2194154290941627,-0.5994921068932685,-0.08935253354383377,1
-0.23665848103958426,-0.12886899595614146,0.08366486308515712,0.07468715578652725,-0.3339634561813653,0.35456620254752924,-0.3840810386551103,0.004211926111283137,1
0.1578320785494238,-0.0742947312868679,-0.11775354539085074,0.21613072545741802,-0.03416664182025344,0.5725479410251846,-0.7591235663444728,-0.20698978796178732,1
-0.33558589037352077,0.16569358926783814,-0.12463661798043862,0.19432964850370293,0.04686956195564947,-0.93392871480745,-0.31707681616618977,-0.5292383094835208,1
0.3186310003532473,-0.21418791570187246,-0.03714150596379467,0.10451448751088746,0.09932237728483367,-0.21591483570460746,0.036721541894727684,0.12225650766299621,1
0.29000574235820603,0.19849970317770999,-0.03787775070863539,-0.12741815429235032,0.03251174143461124,0.4849756484899706,0.0858628644176096,0.3403497441748258,1
-0.09824449342476256,0.11385922613851157,-0.02515456899972253,0.05721917711834557,-0.4463809059311291,-0.03334604376592569,0.035030676265554776,0.21019639695366038,1
0.9915735427266633,0.26812680587180554,-0.04043848308413669,-0.21422578893612212,0.3617610107456133,0.21516850102268578,0.4895081218370936,0.19356844152772512,1
0.6947826974717443,0.0004007229869182705,-0.23113608125660715,0.11202136367098237,0.4245652464868228,-0.25368548196552027,0.07094114143312787,0.07724132358332747,1
0.5847996369880546,-0.20670994969333437,-0.09832074037397841,0.14040187080986988,-0.09487334915429718,-0.16447892013141957,-0.15268448459127576,-0.1454062700352464,1
0.09537626819241245,-0.044613421580846725,-0.0446296824956905,0.044509262267922726,-0.09529069258139125,0.013742709511543376,-0.06760728743976543,-0.09750628676505724,1
-7.8911227904549115,9.405469101955875,-0.33732365237866696,0.7156272031744582,-1.5230059239409508,-0.435172010475267,-0.2137000805392005,0.504474419396222,0
2.3723656131326414,0.5289338637924815,0.0171621278522561,-0.3736358577468855,-0.09180576475057425,-0.18697001455470103,1.645996489996512,0.644952010694793,1
0.5802235174016751,-0.04403053321115749,0.08601010971449034,0.06348407766514357,-0.28717382109692624,-0.042921179983728,-0.25396149525676676,-0.15474017234587104,1
0.664839889529627,-0.14425379744533287,-0.04672056695517689,0.012495723608770897,-0.08234573506091349,0.2157986674281713,-0.061705261564832234,-0.1913562914934123,1
